text,category
gel rua tay kho lifebuoy 500ml 1 hop,Suc_khoe
serum vitamin c klairs freshly juiced 500g,Lam_dep
tem buu dien thuong 5 cai 1 goi,Khac
xang ron 95 tieu chuan 10l x3,Di_lai
bom hoi xe dien tu mini 1 goi,Di_lai
bot giat omo matic 3kg 1 lon,Gia_dinh
ao mua rando 2 lop bo 1 goi,Di_lai
vong co cho chong ve bo chet x1,Thu_cung
bong gac y te vo trung 1kg,Suc_khoe
ao thun cotton basic uniqlo x1,Mua_sam
but bi thien long tl 027 hop 10 1 lon,Hoc_tap
giay goi qua bong kinh mau 1kg,Khac
vitamin tong hop centrum adults 500g,Suc_khoe
khau trang y te 3 lop 50 cai 1 chai,Suc_khoe
thuoc nho mat rohto v cool x1,Suc_khoe
khoa chong trom xe may kryptonite,Di_lai
bo do dung du lich mini travel kit 1 chai,Du_lich
collagen nuoc dhc 30 goi hop x2,Suc_khoe
mang boc thuc pham pe 30m 1l,Khac
pate meo schesir ca hoi rau cu 1 lon,Thu_cung
son moi 3ce velvet lip tint 1 goi,Lam_dep
compa ve hinh hoc kim loai 1 lon,Hoc_tap
bang ca nhan urgo 20 mieng hop 1l,Suc_khoe
tap ve bia cung a4 bai bang x3,Hoc_tap
nen sinh nhat so 25 1 goi,Khac
bo do dung du lich mini travel kit x1,Du_lich
probiotic 10 ty loi khuan bifina 250ml,Suc_khoe
loc nhot xe may honda wave 250ml,Di_lai
bong gac y te vo trung 250ml,Suc_khoe
tui dung my pham du lich 1 chai,Du_lich
dau xa phuc hoi toc hu ton pantene x2,Lam_dep
vong co cho chong ve bo chet 2kg,Thu_cung
do choi chuot lac cho meo 1 chai,Thu_cung
snack thuong meo temptations goi x2,Thu_cung
glucosamine khop 1500mg 1kg,Suc_khoe
kem duong am neutrogena hydro boost,Lam_dep
dau goi clear men 650ml 1 chai,Gia_dinh
khoa chong trom xe may kryptonite 250ml,Di_lai
board game catan phien ban viet 2kg,Giai_tri
balo laptop 15 inch chong nuoc 1 lon,Mua_sam
